RESUMO CONSOLIDADO DA PASTA clips_3

tapo_2026-05-04_13-00-00: Entradas=6 | Saidas=6
tapo_2026-05-05_12-00-00: Entradas=7 | Saidas=4
tapo_2026-05-05_13-00-01: Entradas=9 | Saidas=7
tapo_2026-05-05_14-00-00: Entradas=49 | Saidas=53
tapo_2026-05-05_15-00-01: Entradas=11 | Saidas=7
tapo_2026-05-05_16-00-01: Entradas=4 | Saidas=6
tapo_2026-05-05_17-00-01: Entradas=3 | Saidas=2
tapo_2026-05-05_18-00-00: Entradas=1 | Saidas=2
tapo_2026-05-05_19-00-01: Entradas=2 | Saidas=0
tapo_2026-05-05_21-00-00: Entradas=2 | Saidas=2
tapo_2026-05-06_06-00-01: Entradas=1 | Saidas=3
tapo_2026-05-06_09-00-00: Entradas=1 | Saidas=3
tapo_2026-05-06_10-00-01: Entradas=0 | Saidas=2
tapo_2026-05-06_11-00-01: Entradas=1 | Saidas=0
tapo_2026-05-06_12-00-00: Entradas=2 | Saidas=3
tapo_2026-05-06_13-00-00: Entradas=2 | Saidas=2
tapo_2026-05-06_14-00-00: Entradas=2 | Saidas=2
tapo_2026-05-06_15-00-01: Entradas=1 | Saidas=1
tapo_2026-05-06_16-00-00: Entradas=1 | Saidas=1
tapo_2026-05-06_17-00-00: Entradas=1 | Saidas=0
tapo_2026-05-06_18-00-00: Entradas=4 | Saidas=2
tapo_2026-05-06_19-00-01: Entradas=4 | Saidas=1
tapo_2026-05-06_20-00-01: Entradas=2 | Saidas=4
tapo_2026-05-06_21-00-01: Entradas=0 | Saidas=0
tapo_2026-05-07_06-00-00: Entradas=3 | Saidas=3
tapo_2026-05-07_07-00-00: Entradas=0 | Saidas=1
tapo_2026-05-07_09-00-01: Entradas=3 | Saidas=1
tapo_2026-05-07_10-00-01: Entradas=4 | Saidas=1
tapo_2026-05-07_11-00-00: Entradas=0 | Saidas=0
tapo_2026-05-07_12-00-01: Entradas=1 | Saidas=2
