RELATORIO DA PASTA clips_3

tapo_2026-05-04_13-00-00_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000003.mp4: Entradas=1 | Saidas=1
tapo_2026-05-04_13-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_13-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000008.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000009.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000010.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000011.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000012.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000013.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000014.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000015.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000016.mp4: Entradas=0 | Saidas=3
tapo_2026-05-04_13-00-00_clipe___0000017.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_13-00-00_clipe___0000018.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_13-00-00_clipe___0000019.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000004.mp4: Entradas=1 | Saidas=1
tapo_2026-05-05_12-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000006.mp4: Entradas=1 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000008.mp4: Entradas=1 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000009.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000010.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000011.mp4: Entradas=1 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000012.mp4: Entradas=2 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000013.mp4: Entradas=0 | Saidas=1
tapo_2026-05-05_12-00-00_clipe___0000014.mp4: Entradas=1 | Saidas=2
tapo_2026-05-05_12-00-00_clipe___0000015.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_12-00-00_clipe___0000016.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=1
tapo_2026-05-05_13-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=2
tapo_2026-05-05_13-00-01_clipe___0000004.mp4: Entradas=1 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000008.mp4: Entradas=2 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000009.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000010.mp4: Entradas=1 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000011.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000012.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000013.mp4: Entradas=3 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000014.mp4: Entradas=0 | Saidas=1
tapo_2026-05-05_13-00-01_clipe___0000015.mp4: Entradas=0 | Saidas=2
tapo_2026-05-05_13-00-01_clipe___0000016.mp4: Entradas=0 | Saidas=1
tapo_2026-05-05_13-00-01_clipe___0000017.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000018.mp4: Entradas=1 | Saidas=0
tapo_2026-05-05_13-00-01_clipe___0000019.mp4: Entradas=0 | Saidas=0
