RESUMO CONSOLIDADO DA PASTA clips_2

tapo_2026-04-29_19-00-01: Entradas=1 | Saidas=2
tapo_2026-04-29_20-00-00: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00: Entradas=3 | Saidas=6
tapo_2026-04-30_11-00-00: Entradas=3 | Saidas=3
tapo_2026-04-30_14-00-01: Entradas=1 | Saidas=2
tapo_2026-04-30_15-00-00: Entradas=1 | Saidas=1
tapo_2026-04-30_16-00-00: Entradas=2 | Saidas=3
tapo_2026-04-30_20-00-00: Entradas=2 | Saidas=5
tapo_2026-04-30_21-00-00: Entradas=0 | Saidas=1
