RELATORIO DA PASTA clips_1

tapo_2026-04-29_17-06-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_18-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000006.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000008.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_18-00-01_clipe___0000009.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000004.mp4: Entradas=1 | Saidas=2
tapo_2026-04-30_06-00-00_clipe___0000005.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_06-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000008.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_06-00-00_clipe___0000009.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000010.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_06-00-00_clipe___0000011.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_07-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_07-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_07-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_07-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_07-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_12-00-00_clipe___0000001.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_12-00-00_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_12-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_13-00-01_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_13-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_13-00-01_clipe___0000003.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_13-00-01_clipe___0000004.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_13-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=2
tapo_2026-04-30_13-00-01_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_13-00-01_clipe___0000007.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_18-00-00_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_18-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_18-00-00_clipe___0000003.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_18-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_18-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_18-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_10-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_10-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_10-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_10-00-01_clipe___0000004.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_10-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_11-00-01_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_11-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=2
tapo_2026-05-04_11-00-01_clipe___0000003.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_11-00-01_clipe___0000004.mp4: Entradas=1 | Saidas=1
tapo_2026-05-04_11-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_11-00-01_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_11-00-01_clipe___0000007.mp4: Entradas=2 | Saidas=0
tapo_2026-05-04_16-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_16-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_16-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_16-00-01_clipe___0000004.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_16-00-01_clipe___0000005.mp4: Entradas=2 | Saidas=2
tapo_2026-05-04_16-00-01_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_16-00-01_clipe___0000007.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_17-00-01_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_17-00-01_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_17-00-01_clipe___0000003.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_17-00-01_clipe___0000004.mp4: Entradas=0 | Saidas=3
tapo_2026-05-05_06-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_06-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-05-05_06-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=1
tapo_2026-05-05_06-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_06-00-00_clipe___0000005.mp4: Entradas=3 | Saidas=3
tapo_2026-05-05_06-00-00_clipe___0000006.mp4: Entradas=1 | Saidas=1
tapo_2026-05-05_06-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
