RELATORIO DA PASTA clips_4

tapo_2026-04-30_09-00-00_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_09-00-00_clipe___0000003.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_09-00-00_clipe___0000004.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_09-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000008.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000009.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_09-00-00_clipe___0000010.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000011.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_09-00-00_clipe___0000012.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000013.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000014.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000015.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000016.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_09-00-00_clipe___0000017.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000018.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000019.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000020.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_09-00-00_clipe___0000021.mp4: Entradas=1 | Saidas=2
tapo_2026-04-30_09-00-00_clipe___0000022.mp4: Entradas=3 | Saidas=0
tapo_2026-05-04_06-00-02_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_06-00-02_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_06-00-02_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_06-00-02_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_06-00-02_clipe___0000005.mp4: Entradas=1 | Saidas=2
tapo_2026-05-04_06-00-02_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_06-00-02_clipe___0000007.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_08-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_12-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_12-00-01_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_12-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_12-00-01_clipe___0000004.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_12-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=2
tapo_2026-05-04_12-00-01_clipe___0000006.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_12-00-01_clipe___0000007.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_12-00-01_clipe___0000008.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_12-00-01_clipe___0000009.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_12-00-01_clipe___0000010.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_14-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_14-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_14-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_14-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_14-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_14-00-00_clipe___0000006.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_15-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000005.mp4: Entradas=2 | Saidas=1
tapo_2026-05-04_15-00-00_clipe___0000006.mp4: Entradas=2 | Saidas=1
tapo_2026-05-04_15-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000008.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000009.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_15-00-00_clipe___0000010.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_15-00-00_clipe___0000011.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_18-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-04_18-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-05-04_19-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
tapo_2026-05-04_20-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-05-05_09-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
